Category,Skill id,Skill name
Understand division,E-I.2,Write division sentences for groups
Understand division,E-I.3,Relate multiplication and division for groups
Understand division,E-I.4,Write division sentences for arrays
Understand division,E-I.5,Relate multiplication and division for arrays
Division skill builders,E-J.1,Divide by 1
Division skill builders,E-J.2,Divide by 2
Division skill builders,E-J.3,Divide by 3
Division skill builders,E-J.4,Divide by 4
Division skill builders,E-J.5,Divide by 5
Division skill builders,E-J.6,Divide by 6
Division skill builders,E-J.7,Divide by 7
Division skill builders,E-J.8,Divide by 8
Division skill builders,E-J.9,Divide by 9
Division skill builders,E-J.10,Divide by 10
Division skill builders,E-J.11,Divide by 11
Division skill builders,E-J.12,Divide by 12
Division fluency,E-K.1,"Division facts for 2, 3, 4, 5, and 10"
Division fluency,E-K.2,"Division facts for 2, 3, 4, 5, and 10: true or false?"
Division fluency,E-K.3,"Division facts for 2, 3, 4, 5, and 10: sorting"
Division fluency,E-K.4,"Division facts for 6, 7, 8, and 9"
Division fluency,E-K.5,"Division facts for 6, 7, 8, and 9: true or false?"
Division fluency,E-K.6,"Division facts for 6, 7, 8, and 9: sorting"
Division fluency,E-K.7,Division facts up to 10
Division fluency,E-K.8,Division facts up to 10: true or false?
Division fluency,E-K.9,Division facts up to 10: sorting
Division fluency,E-K.10,Division facts up to 10: find the missing number
Division fluency,E-K.11,Division facts up to 10: select the missing numbers
Division fluency,E-K.12,Division sentences up to 10: true or false?
Division fluency,E-K.13,Division facts up to 12
Division fluency,E-K.14,Division facts up to 12: true or false?
Division fluency,E-K.15,Division facts up to 12: find the missing number
Division fluency,E-K.16,Division facts up to 12: select the missing numbers
Division fluency,E-K.17,Division sentences up to 12: true or false?
Division,E-L.1,Complete the division table
Division,E-L.2,Divide numbers ending in zeroes
Division,E-L.3,Division patterns over increasing place values
Division,E-L.4,Division input/output tables
Division,E-L.5,Division input/output tables: find the rule
Division,E-L.6,Division word problems
Division,E-L.7,Divide three-digit numbers
Division,E-L.8,Divide three-digit numbers: word problems
Division,E-L.9,Divide larger numbers
Division,E-L.10,Divide larger numbers: word problems
Division,E-L.11,"Divisibility rules for 2, 5, and 10"
Division,E-L.12,"Divisibility rules for 3, 6, and 9"
Division,E-L.13,Divisibility rules for 4 and 8
Mixed operations,E-M.1,"Addition, subtraction, multiplication, and division facts"
Mixed operations,E-M.2,"Complete the addition, subtraction, multiplication, or division sentence"
Mixed operations,E-M.3,Multiplication and division facts up to 5: true or false?
Mixed operations,E-M.4,Multiplication and division facts up to 10: true or false?
Mixed operations,E-M.5,Multiplication and division facts up to 12: true or false?
Mixed operations,E-M.6,Multiplication and division sentences up to 12: true or false?
Mixed operations,E-M.7,"Add, subtract, multiply, and divide"
Mixed operations,E-M.8,Addition and subtraction word problems
Mixed operations,E-M.9,"Addition, subtraction, multiplication, and division word problems"
Mixed operations,E-M.10,Interpret data in tables
Mixed operations,E-M.11,Multi-step word problems
Mixed operations,E-M.12,Missing operators
Properties,E-N.1,"Addition, subtraction, multiplication, and division terms"
Properties,E-N.2,Understanding parentheses
Properties,E-N.3,Properties of addition
Properties,E-N.4,Solve using properties of addition
Properties,E-N.5,Properties of multiplication
Properties,E-N.6,Solve using properties of multiplication
Properties,E-N.7,Distributive property: find the missing factor
Properties,E-N.8,Multiply using the distributive property
Properties,E-N.9,Relate addition and multiplication
Properties,E-N.10,Relate multiplication and division
Equations and variables,E-O.1,Identify equations
Equations and variables,E-O.2,Solve for the variable: addition and subtraction
Equations and variables,E-O.3,Solve for the variable: multiplication and division
Equations and variables,E-O.4,"Solve for the variable: addition, subtraction, multiplication, and division"
Equations and variables,E-O.5,Write variable equations to represent word problems
Estimation and rounding,E-P.1,Rounding - nearest ten or hundred only
Estimation and rounding,E-P.2,Rounding
Estimation and rounding,E-P.3,Rounding money amounts
Estimation and rounding,E-P.4,Rounding puzzles
Estimation and rounding,E-P.5,Solve inequalities using estimation
Estimation and rounding,E-P.6,"Estimate sums up to 1,000"
Estimation and rounding,E-P.7,Estimate sums
Estimation and rounding,E-P.8,"Estimate differences up to 1,000"
Estimation and rounding,E-P.9,Estimate differences
Estimation and rounding,E-P.10,Estimate products
Estimation and rounding,E-P.11,Estimate quotients
Logical reasoning,E-Q.1,Guess the number
Logical reasoning,E-Q.2,Largest/smallest number possible
Logical reasoning,E-Q.3,Find the order
Logical reasoning,E-Q.4,Age puzzles
Logical reasoning,E-Q.5,Find two numbers based on sum and difference
Logical reasoning,E-Q.6,"Find two numbers based on sum, difference, product, and quotient"
Patterns,E-R.1,Repeating patterns
Patterns,E-R.2,Growing patterns
Patterns,E-R.3,Find the next shape in a pattern
Patterns,E-R.4,Complete a repeating pattern
Patterns,E-R.5,Make a repeating pattern
Patterns,E-R.6,Find the next row in a growing pattern
Money,E-S.1,Count coins and bills - up to $5 bill
Money,E-S.2,Which picture shows more?
Money,E-S.3,Purchases - do you have enough money - up to $10
Money,E-S.4,Making change
Money,E-S.5,Inequalities with money
Money,E-S.6,Put money amounts in order
Money,E-S.7,Add and subtract money amounts
Money,E-S.8,Add money amounts - word problems
Money,E-S.9,Price lists
Money,E-S.10,Multiply money amounts
Money,E-S.11,Divide money amounts
Time,E-T.1,Match clocks and times
Time,E-T.2,Match analog and digital clocks
Time,E-T.3,Read clocks and write times
Time,E-T.4,A.M. or P.M.
Time,E-T.5,Write times
Time,E-T.6,Elapsed time I
Time,E-T.7,Elapsed time II
Time,E-T.8,Time patterns
Time,E-T.9,Convert between hours and fractions of hours
Time,E-T.10,Relate time units
Time,E-T.11,Read a calendar
Time,E-T.12,Reading schedules
Time,E-T.13,Timelines
Data and graphs,E-U.1,Objects on a coordinate plane
Data and graphs,E-U.2,Coordinate planes as maps
Data and graphs,E-U.3,Graph points on a coordinate plane
Data and graphs,E-U.4,Interpret tally charts and tables
Data and graphs,E-U.5,Interpret bar graphs
Data and graphs,E-U.6,Create bar graphs
Data and graphs,E-U.7,Interpret line plots
Data and graphs,E-U.8,Create line plots
Data and graphs,E-U.9,Interpret pictographs
Data and graphs,E-U.10,Create pictographs
Data and graphs,E-U.11,Interpret line graphs
Data and graphs,E-U.12,Create line graphs
Data and graphs,E-U.13,Sort shapes into a Venn diagram
Data and graphs,E-U.14,Count shapes in a Venn diagram
Data and graphs,E-U.15,Venn diagrams with three circles
Measurement,E-V.1,Read a thermometer
Measurement,E-V.2,Reasonable temperature
Measurement,E-V.3,Measure using an inch ruler
Measurement,E-V.4,Which customary unit of length is appropriate?
Measurement,E-V.5,Which customary unit of weight is appropriate?
Measurement,E-V.6,Which customary unit of volume is appropriate?
Measurement,E-V.7,Which customary unit is appropriate?
Measurement,E-V.8,Compare and convert customary units of length
Measurement,E-V.9,Compare and convert customary units of weight
Measurement,E-V.10,Compare and convert customary units of volume
Measurement,E-V.11,Conversion tables - customary units
Measurement,E-V.12,Compare customary units by multiplying
Measurement,E-V.13,Which metric unit of length is appropriate?
Measurement,E-V.14,Which metric unit of weight is appropriate?
Measurement,E-V.15,Which metric unit of volume is appropriate?
Measurement,E-V.16,Which metric unit is appropriate?
Measurement,E-V.17,Compare and convert metric units of length
Measurement,E-V.18,Compare and convert metric units of weight
Measurement,E-V.19,Compare and convert metric units of volume
Measurement,E-V.20,Conversion tables - metric units
Measurement,E-V.21,Choose the appropriate measuring tool
Geometry,E-W.1,Identify 2-dimensional and 3-dimensional shapes
Geometry,E-W.2,Which 2-dimensional shape is being described?
Geometry,E-W.3,Count and compare sides and angles
Geometry,E-W.4,"Count and compare edges, vertices, and faces"
Geometry,E-W.5,Symmetry
Geometry,E-W.6,Similar and congruent
Geometry,E-W.7,"Reflection, rotation, and translation"
Geometry,E-W.8,Perimeter
Geometry,E-W.9,Perimeter: find the missing side length
Geometry,E-W.10,Area of figures made of unit squares
Geometry,E-W.11,Create figures with a given area
Geometry,E-W.12,Area of rectangles
Geometry,E-W.13,Area of squares and rectangles: word problems
Geometry,E-W.14,Area of complex figures (with all right angles)
Geometry,E-W.15,Area between two rectangles
Geometry,E-W.16,Compare area and perimeter of two figures
Geometry,E-W.17,Use area and perimeter to determine cost
Geometry,E-W.18,Relationship between area and perimeter
Geometry,E-W.19,Volume
Geometry,E-W.20,"Angles: greater than, less than, or equal to a right angle"
Geometry,E-W.21,"Lines, line segments, and rays"
Geometry,E-W.22,"Parallel, perpendicular, intersecting"
Geometry,E-W.23,Is it a polygon?
Geometry,E-W.24,"Triangles:  equilateral, isosceles, and scalene"
Geometry,E-W.25,"Triangles:  acute, right, and obtuse"
Geometry,E-W.26,Classify quadrilaterals
Understand fractions,E-X.1,Identify equal parts
Understand fractions,E-X.2,"Identify halves, thirds, and fourths"
Understand fractions,E-X.3,Understand fractions: fraction bars
Understand fractions,E-X.4,Understand fractions: area models
Understand fractions,E-X.5,Match unit fractions to models
Understand fractions,E-X.6,Match fractions to models
Understand fractions,E-X.7,Show fractions: fraction bars
Understand fractions,E-X.8,Show fractions: area models
Understand fractions,E-X.9,Fractions of number lines: unit fractions
Understand fractions,E-X.10,Fractions of number lines
Understand fractions,E-X.11,Identify unit fractions on number lines
Understand fractions,E-X.12,Identify fractions on number lines
Understand fractions,E-X.13,Graph unit fractions on number lines
Understand fractions,E-X.14,Graph fractions on number lines
Understand fractions,E-X.15,Graph smaller or larger fractions on a number line
Understand fractions,E-X.16,Fractions of a whole: modeling word problems
Understand fractions,E-X.17,Unit fractions: word problems
Understand fractions,E-X.18,Fractions of a whole: word problems
Understand fractions,E-X.19,Fraction review - word problems
Understand fractions,E-X.20,Match mixed numbers to models
Understand fractions,E-X.21,Word names for mixed numbers
Equivalent fractions,E-Y.1,Find equivalent fractions using area models
Equivalent fractions,E-Y.2,Identify equivalent fractions on number lines
Equivalent fractions,E-Y.3,Find equivalent fractions using number lines
Equivalent fractions,E-Y.4,Graph equivalent fractions on number lines
Equivalent fractions,E-Y.5,Select equivalent fractions
Equivalent fractions,E-Y.6,Find equivalent fractions
Equivalent fractions,E-Y.7,Select fractions equivalent to whole numbers using area models
Equivalent fractions,E-Y.8,Graph fractions equivalent to 1 on number lines
Equivalent fractions,E-Y.9,Find fractions equivalent to whole numbers
Equivalent fractions,E-Y.10,Find equivalent fractions with denominators of 10 and 100
Equivalent fractions,E-Y.11,Reduce fractions to lowest terms
Compare fractions,E-Z.1,Compare fractions using models
Compare fractions,E-Z.2,Compare fractions using number lines
Compare fractions,E-Z.3,Graph and compare fractions with like denominators on number lines
Compare fractions,E-Z.4,Graph and compare fractions with like numerators on number lines
Compare fractions,E-Z.5,Graph and compare fractions on number lines
Compare fractions,E-Z.6,Compare fractions
Compare fractions,E-Z.7,Compare fractions in recipes
Compare fractions,E-Z.8,Benchmark fractions
Compare fractions,E-Z.9,Graph and order fractions on number lines
Compare fractions,E-Z.10,Order fractions with like denominators
Compare fractions,E-Z.11,Order fractions with like numerators
Compare fractions,E-Z.12,Order fractions
Operations with fractions,E-AA.1,Fractions of a number - unit fractions
Operations with fractions,E-AA.2,Fractions of a number
Operations with fractions,E-AA.3,Fractions of a number - unit fractions: word problems
Operations with fractions,E-AA.4,Fractions of a number: word problems
Operations with fractions,E-AA.5,Decompose fractions into unit fractions
Operations with fractions,E-AA.6,Add fractions with like denominators using number lines
Operations with fractions,E-AA.7,Subtract fractions with like denominators using number lines
Operations with fractions,E-AA.8,Add and subtract fractions with like denominators
Decimals,E-BB.1,What decimal number is illustrated?
Decimals,E-BB.2,Convert between decimals and fractions
Decimals,E-BB.3,Word names for decimals
Decimals,E-BB.4,Number sequences involving decimals
Decimals,E-BB.5,Compare decimals
Decimals,E-BB.6,Order decimals
Decimals,E-BB.7,Add and subtract decimals
Decimals,E-BB.8,Add and subtract decimals - word problems
Decimals,E-BB.9,Add three or more decimals
Probability and statistics,E-CC.1,"Certain, probable, unlikely, and impossible"
Probability and statistics,E-CC.2,"Mean, median, mode, and range"
Probability and statistics,E-CC.3,"Interpret charts to find mean, median, mode, and range"
