Category,Skill code,Skill name
Multiplication fluency,E-G.14,Multiplication sentences up to 10: true or false?
Multiplication fluency,E-G.15,Multiplication tables up to 12
Multiplication fluency,E-G.16,Multiplication facts up to 12: true or false?
Multiplication fluency,E-G.17,Multiplication facts up to 12: find the missing factor
Multiplication fluency,E-G.18,Multiplication facts up to 12: select the missing factors
Multiplication fluency,E-G.19,Multiplication sentences up to 12: true or false?
Multiplication fluency,E-G.20,Squares up to 10 x 10
Multiplication,E-H.1,Multiply by a multiple of ten
Multiplication,E-H.2,Multiplication patterns over increasing place values
Multiplication,E-H.3,Multiply numbers ending in zeroes
Multiplication,E-H.4,Multiplication input/output tables
Multiplication,E-H.5,Multiplication input/output tables: find the rule
Multiplication,E-H.6,Multiplication word problems
Multiplication,E-H.7,Multiplication word problems: find the missing factor
Multiplication,E-H.8,Multiply one-digit numbers by two-digit numbers
Multiplication,E-H.9,Multiply one-digit numbers by two-digit numbers: word problems
Multiplication,E-H.10,Multiply one-digit numbers by three-digit numbers
Multiplication,E-H.11,Multiply one-digit numbers by three-digit numbers: word problems
Multiplication,E-H.12,Multiply three or more numbers
Multiplication,E-H.13,Multiply three or more numbers: word problems
Multiplication,E-H.14,Combinations
Multiplication,E-H.15,Box multiplication
Multiplication,E-H.16,Lattice multiplication
Understand division,E-I.1,Divide by counting equal groups
Understand division,E-I.2,Write division sentences for groups
Understand division,E-I.3,Relate multiplication and division for groups
Understand division,E-I.4,Write division sentences for arrays
Understand division,E-I.5,Relate multiplication and division for arrays
Division skill builders,E-J.1,Divide by 1
Division skill builders,E-J.2,Divide by 2
Division skill builders,E-J.3,Divide by 3
Division skill builders,E-J.4,Divide by 4
Division skill builders,E-J.5,Divide by 5
Division skill builders,E-J.6,Divide by 6
Division skill builders,E-J.7,Divide by 7
Division skill builders,E-J.8,Divide by 8
Division skill builders,E-J.9,Divide by 9
Division skill builders,E-J.10,Divide by 10
Division skill builders,E-J.11,Divide by 11
Division skill builders,E-J.12,Divide by 12
Division fluency,E-K.1,"Division facts for 2, 3, 4, 5, and 10"
Division fluency,E-K.2,"Division facts for 2, 3, 4, 5, and 10: true or false?"
Division fluency,E-K.3,"Division facts for 2, 3, 4, 5, and 10: sorting"
Division fluency,E-K.4,"Division facts for 6, 7, 8, and 9"
Division fluency,E-K.5,"Division facts for 6, 7, 8, and 9: true or false?"
Division fluency,E-K.6,"Division facts for 6, 7, 8, and 9: sorting"
Division fluency,E-K.7,Division facts up to 10
Division fluency,E-K.8,Division facts up to 10: true or false?
Division fluency,E-K.9,Division facts up to 10: sorting
Division fluency,E-K.10,Division facts up to 10: find the missing number
Division fluency,E-K.11,Division facts up to 10: select the missing numbers
Division fluency,E-K.12,Division sentences up to 10: true or false?
Division fluency,E-K.13,Division facts up to 12
Division fluency,E-K.14,Division facts up to 12: true or false?
Division fluency,E-K.15,Division facts up to 12: find the missing number
Division fluency,E-K.16,Division facts up to 12: select the missing numbers
Division fluency,E-K.17,Division sentences up to 12: true or false?
Division,E-L.1,Division patterns over increasing place values
Division,E-L.2,Divide numbers ending in zeroes
Division,E-L.3,Division input/output tables
Division,E-L.4,Division input/output tables: find the rule
Division,E-L.5,Division word problems
Division,E-L.6,Divide three-digit numbers
Division,E-L.7,Complete the division table
Division,E-L.8,Divide three-digit numbers: word problems
Division,E-L.9,Divide larger numbers
Division,E-L.10,Divide larger numbers: word problems
Division,E-L.11,"Divisibility rules for 2, 5, and 10"
Division,E-L.12,"Divisibility rules for 3, 6, and 9"
Division,E-L.13,Divisibility rules for 4 and 8
Mixed operations,E-M.1,"Addition, subtraction, multiplication, and division facts"
Mixed operations,E-M.2,"Complete the addition, subtraction, multiplication, or division sentence"
Mixed operations,E-M.3,Multiplication and division facts up to 5: true or false?
Mixed operations,E-M.4,Multiplication and division facts up to 10: true or false?
Mixed operations,E-M.5,Multiplication and division facts up to 12: true or false?
Mixed operations,E-M.6,Multiplication and division sentences up to 12: true or false?
Mixed operations,E-M.7,"Add, subtract, multiply, and divide"
Mixed operations,E-M.8,Addition and subtraction word problems
Mixed operations,E-M.9,"Addition, subtraction, multiplication, and division word problems"
Mixed operations,E-M.10,Interpret data in tables
Mixed operations,E-M.11,Multi-step word problems
Mixed operations,E-M.12,Missing operators
Properties,E-N.1,"Addition, subtraction, multiplication, and division terms"
Properties,E-N.2,Understanding parentheses
Properties,E-N.3,Properties of addition
Properties,E-N.4,Solve using properties of addition
Properties,E-N.5,Properties of multiplication
Properties,E-N.6,Distributive property: find the missing factor
Properties,E-N.7,Multiply using the distributive property
Properties,E-N.8,Solve using properties of multiplication
Properties,E-N.9,Relate addition and multiplication
Properties,E-N.10,Relate multiplication and division
Equations and variables,E-O.1,Identify equations
Equations and variables,E-O.2,Solve for the variable: addition and subtraction
Equations and variables,E-O.3,Solve for the variable: multiplication and division
Equations and variables,E-O.4,"Solve for the variable: addition, subtraction, multiplication, and division"
Equations and variables,E-O.5,Write variable equations to represent word problems
Estimation and rounding,E-P.1,Rounding - nearest ten or hundred only
Estimation and rounding,E-P.2,Rounding
Estimation and rounding,E-P.3,Rounding money amounts
Estimation and rounding,E-P.4,Rounding puzzles
Estimation and rounding,E-P.5,"Estimate sums up to 1,000"
Estimation and rounding,E-P.6,Estimate sums
Estimation and rounding,E-P.7,"Estimate differences up to 1,000"
Estimation and rounding,E-P.8,Estimate differences
Estimation and rounding,E-P.9,Solve inequalities using estimation
Estimation and rounding,E-P.10,Estimate products
Estimation and rounding,E-P.11,Estimate quotients
Logical reasoning,E-Q.1,Guess the number
Logical reasoning,E-Q.2,Largest/smallest number possible
Logical reasoning,E-Q.3,Find the order
Logical reasoning,E-Q.4,Age puzzles
Logical reasoning,E-Q.5,Find two numbers based on sum and difference
Logical reasoning,E-Q.6,"Find two numbers based on sum, difference, product, and quotient"
Patterns,E-R.1,Repeating patterns
Patterns,E-R.2,Growing patterns
Patterns,E-R.3,Find the next shape in a pattern
Patterns,E-R.4,Complete a repeating pattern
Patterns,E-R.5,Make a repeating pattern
Patterns,E-R.6,Find the next row in a growing pattern
Money,E-S.1,Count coins and bills - up to $5 bill
Money,E-S.2,Purchases - do you have enough money - up to $10
Money,E-S.3,Which picture shows more?
Money,E-S.4,Making change
Money,E-S.5,Inequalities with money
Money,E-S.6,Put money amounts in order
Money,E-S.7,Add and subtract money amounts
Money,E-S.8,Add money amounts - word problems
Money,E-S.9,Price lists
Money,E-S.10,Multiply money amounts
Money,E-S.11,Divide money amounts
Time,E-T.1,Match clocks and times
Time,E-T.2,Match analog and digital clocks
Time,E-T.3,Read clocks and write times
Time,E-T.4,A.M. or P.M.
Time,E-T.5,Write times
Time,E-T.6,Elapsed time I
Time,E-T.7,Elapsed time II
Time,E-T.8,Time patterns
Time,E-T.9,Convert between hours and fractions of hours
Time,E-T.10,Relate time units
Time,E-T.11,Read a calendar
Time,E-T.12,Reading schedules
Time,E-T.13,Timelines
Data and graphs,E-U.1,Objects on a coordinate plane
Data and graphs,E-U.2,Coordinate planes as maps
Data and graphs,E-U.3,Graph points on a coordinate plane
Data and graphs,E-U.4,Interpret tally charts and tables
Data and graphs,E-U.5,Interpret bar graphs
Data and graphs,E-U.6,Create bar graphs
Data and graphs,E-U.7,Interpret line plots
Data and graphs,E-U.8,Create line plots
Data and graphs,E-U.9,Interpret pictographs
Data and graphs,E-U.10,Create pictographs
Data and graphs,E-U.11,Interpret line graphs
Data and graphs,E-U.12,Create line graphs
Data and graphs,E-U.13,Count shapes in a Venn diagram
Data and graphs,E-U.14,Sort shapes into a Venn diagram
Data and graphs,E-U.15,Venn diagrams with three circles
Probability and statistics,E-V.1,"Certain, probable, unlikely, and impossible"
Probability and statistics,E-V.2,"Mean, median, mode, and range"
Probability and statistics,E-V.3,"Interpret charts to find mean, median, mode, and range"
Understand fractions,E-W.1,Identify equal parts
Understand fractions,E-W.2,Understand fractions: fraction bars
Understand fractions,E-W.3,Understand fractions: area models
Understand fractions,E-W.4,Show fractions: fraction bars
Understand fractions,E-W.5,Show fractions: area models
Understand fractions,E-W.6,"Match fractions to models: halves, thirds, and fourths"
Understand fractions,E-W.7,Match unit fractions to models
Understand fractions,E-W.8,Match fractions to models
Understand fractions,E-W.9,Fractions of number lines: unit fractions
Understand fractions,E-W.10,Fractions of number lines
Understand fractions,E-W.11,Identify unit fractions on number lines
Understand fractions,E-W.12,Identify fractions on number lines
Understand fractions,E-W.13,Graph unit fractions on number lines
Understand fractions,E-W.14,Graph fractions on number lines
Understand fractions,E-W.15,Graph smaller or larger fractions on a number line
Understand fractions,E-W.16,Unit fractions: word problems
Understand fractions,E-W.17,Fractions of a whole: modeling word problems
Understand fractions,E-W.18,Fractions of a whole: word problems
Understand fractions,E-W.19,Fractions of a group: word problems
Understand fractions,E-W.20,Match mixed numbers to models
Understand fractions,E-W.21,Word names for mixed numbers
Equivalent fractions,E-X.1,Find equivalent fractions using area models
Equivalent fractions,E-X.2,Identify equivalent fractions on number lines
Equivalent fractions,E-X.3,Find equivalent fractions using number lines
Equivalent fractions,E-X.4,Graph equivalent fractions on number lines
Equivalent fractions,E-X.5,Select equivalent fractions
Equivalent fractions,E-X.6,Find equivalent fractions
Equivalent fractions,E-X.7,Graph fractions equivalent to 1 on number lines
Equivalent fractions,E-X.8,Select fractions equivalent to whole numbers using area models
Equivalent fractions,E-X.9,Find fractions equivalent to whole numbers
Equivalent fractions,E-X.10,Find equivalent fractions with denominators of 10 and 100
Equivalent fractions,E-X.11,Reduce fractions to lowest terms
Compare fractions,E-Y.1,Compare fractions using models
Compare fractions,E-Y.2,Compare fractions using number lines
Compare fractions,E-Y.3,Graph and compare fractions with like denominators on number lines
Compare fractions,E-Y.4,Graph and compare fractions with like numerators on number lines
Compare fractions,E-Y.5,Graph and compare fractions on number lines
Compare fractions,E-Y.6,Compare fractions
Compare fractions,E-Y.7,Compare fractions in recipes
Compare fractions,E-Y.8,Benchmark fractions
Compare fractions,E-Y.9,Graph and order fractions on number lines
Compare fractions,E-Y.10,Order fractions with like denominators
Compare fractions,E-Y.11,Order fractions with like numerators
Compare fractions,E-Y.12,Order fractions
Operations with fractions,E-Z.1,Fractions of a number - unit fractions
Operations with fractions,E-Z.2,Fractions of a number
Operations with fractions,E-Z.3,Fractions of a number - unit fractions: word problems
Operations with fractions,E-Z.4,Fractions of a number: word problems
Operations with fractions,E-Z.5,Decompose fractions into unit fractions
Operations with fractions,E-Z.6,Add fractions with like denominators using number lines
Operations with fractions,E-Z.7,Subtract fractions with like denominators using number lines
Operations with fractions,E-Z.8,Add and subtract fractions with like denominators
Decimals,E-AA.1,What decimal number is illustrated?
Decimals,E-AA.2,Convert between decimals and fractions
Decimals,E-AA.3,Word names for decimals
Decimals,E-AA.4,Compare decimals
Decimals,E-AA.5,Order decimals
Decimals,E-AA.6,Add and subtract decimals
Decimals,E-AA.7,Add and subtract decimals - word problems
Decimals,E-AA.8,Add three or more decimals
Decimals,E-AA.9,Number sequences involving decimals
Units of measurement,E-BB.1,Read a thermometer
Units of measurement,E-BB.2,Reasonable temperature
Units of measurement,E-BB.3,Measure using an inch ruler
Units of measurement,E-BB.4,Which customary unit of length is appropriate?
Units of measurement,E-BB.5,Which customary unit of weight is appropriate?
Units of measurement,E-BB.6,Which customary unit of volume is appropriate?
Units of measurement,E-BB.7,Which customary unit is appropriate?
Units of measurement,E-BB.8,Compare and convert customary units of length
Units of measurement,E-BB.9,Compare and convert customary units of weight
Units of measurement,E-BB.10,Compare and convert customary units of volume
Units of measurement,E-BB.11,Conversion tables - customary units
Units of measurement,E-BB.12,Compare customary units by multiplying
Units of measurement,E-BB.13,Which metric unit of length is appropriate?
Units of measurement,E-BB.14,Which metric unit of weight is appropriate?
Units of measurement,E-BB.15,Which metric unit of volume is appropriate?
Units of measurement,E-BB.16,Which metric unit is appropriate?
Units of measurement,E-BB.17,Compare and convert metric units of length
Units of measurement,E-BB.18,Compare and convert metric units of weight
Units of measurement,E-BB.19,Compare and convert metric units of volume
Units of measurement,E-BB.20,Conversion tables - metric units
Units of measurement,E-BB.21,Choose the appropriate measuring tool
Two-dimensional shapes,E-CC.1,Identify two-dimensional shapes
Two-dimensional shapes,E-CC.2,Count and compare sides and angles
Two-dimensional shapes,E-CC.3,Open and closed shapes
Two-dimensional shapes,E-CC.4,Is it a polygon?
Two-dimensional shapes,E-CC.5,"Lines, line segments, and rays"
Two-dimensional shapes,E-CC.6,"Angles greater than, less than, or equal to a right angle"
Two-dimensional shapes,E-CC.7,"Parallel, perpendicular, intersecting"
Two-dimensional shapes,E-CC.8,"Reflection, rotation, and translation"
Two-dimensional shapes,E-CC.9,Similar and congruent
Two-dimensional shapes,E-CC.10,Symmetry
Triangles and quadrilaterals,E-DD.1,"Acute, obtuse, and right triangles"
Triangles and quadrilaterals,E-DD.2,"Scalene, isosceles, and equilateral triangles"
Triangles and quadrilaterals,E-DD.3,Classify quadrilaterals
Triangles and quadrilaterals,E-DD.4,Properties of triangles and quadrilaterals
Three-dimensional shapes,E-EE.1,Identify three-dimensional shapes
Three-dimensional shapes,E-EE.2,"Count and compare edges, vertices, and faces"
Three-dimensional shapes,E-EE.3,Shapes of everyday objects I
Three-dimensional shapes,E-EE.4,Shapes of everyday objects II
Geometric measurement,E-FF.1,Perimeter
Geometric measurement,E-FF.2,Perimeter: find the missing side length
Geometric measurement,E-FF.3,Perimeter: word problems
Geometric measurement,E-FF.4,Find the area of figures made of unit squares
Geometric measurement,E-FF.5,Create figures with a given area
Geometric measurement,E-FF.6,Find the area of rectangles and squares
Geometric measurement,E-FF.7,Find the missing side length of a rectangle
Geometric measurement,E-FF.8,Find the area of rectangles: word problems
Geometric measurement,E-FF.9,Find the area of complex figures
Geometric measurement,E-FF.10,Find the area between two rectangles
Geometric measurement,E-FF.11,Compare area and perimeter of two figures
Geometric measurement,E-FF.12,Use area and perimeter to determine cost
Geometric measurement,E-FF.13,Relationship between area and perimeter
Geometric measurement,E-FF.14,Volume
